idnum,invName,qty,unit,invStatus,status
1,2 To 4 HOLES ADAPTER,5,pcs,Low in Stock,active
2,4 TO TO,1,pcs,Low in Stock,active
3,Alginate/Kromopan,11,kilos,Low in Stock,active
4,Anesthesia,10,pcs,Low in Stock,active
5,Applicator tips,4,pcs,Okay,active
6,Articulating Paper,21,pcs,Low in Stock,active
7,Barbed Roach,8,pcs,Okay,active
8,BEAUTI-CEMENT,1,pcs,Low in Stock,active
9,big diamonds finishing burr,1,pcs,Low in Stock,active
10,Bite Block,8,pcs,Low in Stock,active
11,Bite Wax,37,pcs,Low in Stock,active
12,Bone Burrs,6,pcs,Low in Stock,active
13,BONDING agent,1,pcs,Low in Stock,active
14,Brackets,26,set,Low in Stock,active
15,Buccal Tubes,0,set,Out of Stock,inactive
16,Burr -40 round,2,pcs,Low in Stock,active
17,Burrs # 368016,3,pcs,Low in Stock,active
18,Burrs diamond point (FG),5,pcs,Low in Stock,active
19,Calibra esthetic Resin Cement,3,pcs,Low in Stock,active
20,Castone,12,pcs,Low in Stock,active
21,Cavitron,1,pcs,Low in Stock,active
22,Celluloid Strip,4,pcs,Low in Stock,active
23,Ceramic Brackets,4,set,Low in Stock,active
24,CLOSED COIL SPRING,6,pcs,Low in Stock,active
25,Coax,1,packs,Low in Stock,active
26,Composite A1,1,pcs,Out of Stock,active
27,Composite A2,3,pcs,Low in Stock,active
28,Composite A3,3,pcs,Low in Stock,active
29,Composite A3.5,4,pcs,Low in Stock,active
30,Composite A30,1,pcs,Okay,active
31,Composite B2,2,pcs,Low in Stock,active
32,Composite Bonding Agent,1,pcs,Low in Stock,active
33,Composite instruments code-05703,1,pcs,Low in Stock,active
34,Composite instruments code-05707,1,pcs,Low in Stock,active
35,composite Inc.,11,pcs,Low in Stock,active
36,CuNiTi .016 Lower,1,pcs,Low in Stock,active
37,CuNiTi .12 Upper,1,pcs,Low in Stock,active
38,Defoger,4,pcs,Low in Stock,active
39,Dental Impression material tray,85,pcs,Low in Stock,active
40,Diestone,0,pcs,Out of Stock,active
41,Disposable Syringes 10cc,50,pcs,Low in Stock,active
42,Dowel Posts Large,4,pcs,Low in Stock,active
43,Dowel Posts Medium,4,pcs,Low in Stock,active
44,Dowel Posts Short,4,pcs,Low in Stock,active
45,DRIVER,1,pcs,Low in Stock,active
46,Dycal,2,Pair,Okay,active
47,Elastic Chain,20,pcs,Low in Stock,active
48,Endo Block,1,pcs,Low in Stock,active
49,Etchant,1,pcs,Low in Stock,active
50,EX 12,7,pcs,Okay,active
51,Expander Keys,13,pcs,Okay,active
52,Face Masks,14,Boxes,Okay,active
53,Fermine,1,Bottles,Low in Stock,active
54,Fishbone Trrays,2,pcs,Low in Stock,active
55,Fissure Burs,37,pcs,Okay,active
56,Flouride Gel,38,pcs,Okay,active
57,Flowable Composite A2,1,pcs,Low in Stock,active
58,Flowable Composite A3,0,pcs,Out of Stock,active
59,Flowable Composite A3.5,0,pcs,Out of Stock,active
60,Forestadent wire LOWER .012,4,pcs,Low in Stock,active
61,Forestadent wire UPER .012,5,pcs,Low in Stock,active
62,Formocresol,1,pcs,Low in Stock,active
63,gauze,0,pcs,Out of Stock,active
64,Gingi Master,1,pcs,Low in Stock,active
65,Gingi Master Refill,6,pcs,Low in Stock,active
66,Glass Ionomer Cement GIC,0,Boxes,Out of Stock,active
67,GLOVES LARGE,22,Boxes,Okay,active
68,GLOVES SMALL,8,Boxes,Okay,active
69,Goring,10,Boxes,Okay,active
70,GS II FIXTURE,1,pcs,Low in Stock,active
71,Gun type w/ temp crown,1,Set,Low in Stock,active
72,Gutta Percha 15-40,0,pcs,Out of Stock,active
73,Gutta Percha 45-80,6,Packs,Low in Stock,active
74,HANDPIECE HIGHSPEED / yabangbang,0,pcs,Out of Stock,active
75,HANDPIECE NSK DYNALED/SURGERY,0,Packs,Out of Stock,active
76,HANDPIECE NSK PANAMAX,0,pcs,Out of Stock,active
77,HANDPIECE SET serial # 100300503,2,set,Low in Stock,active
78,HANDPIECE SET serial # 1100300503,0,set,Out of Stock,active
79,HANDPIECE SINGLE SET # 0074693,0,pcs,Out of Stock,active
80,HANDPIECE SINGLE SET # 0074694,0,pcs,Out of Stock,active
81,HANDPIECE SINGLE SET # 0074695,0,pcs,Out of Stock,active
82,HANDPIECE SINGLE SET # 0074696,0,pcs,Out of Stock,active
83,HANPIECE LUBRICANT,0,pcs,Out of Stock,active
84,HANDPIECE SINGLE SET # 0866090,0,pcs,Out of Stock,active
85,Hemodent,1,Bottles,Low in Stock,active
86,H-FILE 015-040,3,pcs,Low in Stock,active
87,IRM,0,pcs,Out of Stock,active
88,K-Files #10 21mm,11,pcs,Okay,active
89,Ligatice,167,pcs,Okay,active
90,Ligature wire,0,pcs,Out of Stock,active
91,LIIDOCAINE hcl,0,pcs,Out of Stock,active
92,Luminous Dappen Dish,12,pcs,Okay,active
93,Matrix band universal,18,pcs,Okay,active
94,METAPEX,1,pcs,Low in Stock,active
95,Mixing Pad Big,3,pcs,Low in Stock,active
96,Mixing Pad Small,0,pcs,Out of Stock,active
97,Modeling compound,0,pcs,Out of Stock,active
98,Molar bands,72,pcs,Okay,active
99,NiTi .012 lower,8,pcs,Okay,active
100,NiTi .012 upper,9,pcs,Okay,active
